,0
0,0.4624544826981417
1,0.676851765233404
2,0.8438009996687508
3,0.44255939565393254
4,0.7005529754666904
5,0.9077009606596813
6,0.5032398817552308
7,0.7187934717511679
8,0.8373356601648395
9,0.5358577762326163
10,0.6421219178246862
11,0.8414774356341479
12,0.5251600132483982
13,0.6589291809874153
14,0.7931915617573575
15,0.5232309947113575
16,0.698950099592656
17,0.8049968012633986
18,0.5740809440245571
19,0.7334475881206723
20,0.8473296467420881
21,0.47968563293593336
22,0.7044797538896325
23,0.8944737108986375
24,0.44560858895703753
25,0.6635047279646963
26,0.8622321822439397
27,0.40833524649184466
28,0.7061030924632359
29,0.8849629022042245
30,0.4904644669031058
31,0.7864754623892588
32,0.8688601333193183
33,0.531505997202736
34,0.741816317682229
35,0.8116853164133909
36,0.45283609598144703
37,0.8032782543178087
38,0.938601020259663
39,0.5248192086218872
40,0.7851554088405459
41,0.9172808484387296
42,0.5371008974424245
43,0.789506398644483
44,0.8556599805508922
45,0.39903725659165346
46,0.6116670218012652
47,0.7396170277861076
48,0.4269051751742585
49,0.6082090716857864
50,0.8199682117465857
51,0.4782563269502394
52,0.6774926874834142
53,0.8456770381985913
54,0.5022512742358203
55,0.6743279919582172
56,0.7832753956245688
57,0.505207971861724
58,0.7056387260251042
59,0.756232679470307
60,0.5318836528826698
61,0.6747582472881481
62,0.7583566046671627
63,0.5408670544469418
64,0.7475672052399674
65,0.7191275301070117
66,0.5177010832511919
67,0.6590859327452304
68,0.8079345733167425
69,0.5169888823087284
70,0.7219471691930143
71,0.8213999648004746
72,0.5270220244676045
73,0.754324907912503
74,0.7912458389931069
75,0.36655244692558586
76,0.5535598117818143
77,0.6777557127658298
78,0.32988675658455224
79,0.5488817977493292
80,0.6699663598660182
81,0.43026064474600617
82,0.5721023603614444
83,0.7167862121330333
84,0.40537908200470224
85,0.5812546710055653
86,0.7108267348156655
87,0.434153559007728
88,0.6310644603052562
89,0.7115899836097782
90,0.3411584423977192
91,0.6883412543526001
92,0.8037872747904196
93,0.45632259365081984
94,0.8086327589837695
95,0.8611628961195363
96,0.5411324849528826
97,0.764573722516116
98,0.6842708099602809
99,0.43269038832260037
100,0.5816263437653811
101,0.7073599856414198
102,0.38529212276821106
103,0.5660237896070224
104,0.9185773096846492
105,0.5743425164223047
106,0.8795906866999117
107,0.9599725973557001
108,0.5323423947754153
109,0.8062516539095279
110,0.9182186144062531
111,0.4481853722028727
112,0.5913407237490832
113,0.7552440349764373
114,0.4613106378204084
115,0.5858303752214326
116,0.7982630365220796
117,0.5503174595386376
118,0.7002796735257297
119,0.7478546948167241
